id,title,authors,year,start_page,end_page,subject,filename,editors,doi,isbn,issn,proceeding_title,series_title,publisher,publication_place,conference_date,conference_location,session_title,publication_type,language,peer_review_status,mistral_label_prozess_paradigma_agg,mistral_label_lernende_paradigma_agg,mistral_label_design_paradigma_agg,mistral_label_bildungstechnologie_paradigma_agg,llama_label_prozess_paradigma_agg,llama_label_lernende_paradigma_agg,llama_label_design_paradigma_agg,llama_label_bildungstechnologie_paradigma_agg,gemma_label_prozess_paradigma_agg,gemma_label_lernende_paradigma_agg,gemma_label_design_paradigma_agg,gemma_label_bildungstechnologie_paradigma_agg
268,A Neural Natural Language Processing System for Educational Resource Knowledge Domain Classification,"Schrumpf, Johannes, 0000-0002-0068-273X; Weber, Felix, 0000-0002-7012-3378; Thelen, Tobias, 0000-0002-3337-6093",2021,283.0,288.0,"Machine Learning, AI in Higher Education, Recommender Systems",DELFI_2021_283-288.pdf,"Kienle, Andrea; Harrer, Andreas; Haake, Joerg M.; Lingnau, Andreas",,978-3-88579-710-4,1617-5468,DELFI 2021,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-316",Gesellschaft für Informatik e.V.,Bonn,13.-15. September 2021,Online,Lernressourcen,Text/Conference Paper,en,,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0
301,On the Lack of Recognition of Software Artifacts and IT Infrastructure in Educational Technology Research,"Kiesler, Natalie; Schiffner, Daniel",2022,201.0,206.0,"Open Science, FAIR principles, epistemology, technology-based research, software, research data management",DELFI_2022_034.pdf,"Henning, Peter A.; Striewe, Michael, 0000-0001-8866-6971; Wölfel, Matthias, 0000-0003-1601-5146",10.18420/delfi2022-034,978-3-88579-716-6,1617-5468,20. Fachtagung Bildungstechnologien (DELFI),"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-322",Gesellschaft für Informatik e.V.,Bonn,12.-14. September 2022,Karlsruhe,,Text/Conference Paper,en,,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0
396,Smart Start: A Critical Analysis of Chatbots as Tools to Support Study Orientation,"Cohausz, Lea; Dieing, Thilo I.; Merkle, Belinda; Scheffler, Marc; Janke, Stefan",2025,113.0,127.0,"chatbot, LLM, dropout, service-oriented chatbot, study choice advisor, TAM",paper-11.pdf,"Köppen, Veit; Strickroth, Sven",10.18420/delfi2025_11,,,23. Fachtagung Bildungstechnologien (DELFI 2025),"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-369",Gesellschaft für Informatik e.V.,,8.–11. September 2025,Freiberg,Künstliche Intelligenz,Text/Conference Paper,en,full,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0
400,"Evaluierung einer gamifizierten Lern-App: Usability, User Experience und Lerneffekt in der Hochschulbildung","Welk, Josefine; Roschke, Christian; Breck, Dominik; Schlosser, Max; Ritter, Marc",2025,171.0,183.0,"Evaluation, Usability, User Experience, Lerneffekt, Mobile Learning",paper-15.pdf,"Köppen, Veit; Strickroth, Sven",10.18420/delfi2025_15,,,23. Fachtagung Bildungstechnologien (DELFI 2025),"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-369",Gesellschaft für Informatik e.V.,,8.–11. September 2025,Freiberg,Learning Analytics/Gamification,Text/Conference Paper,de,full,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
403,A Publication Framework for Research Data in the EdTec Community,"Schulz, Sandra; Schiffner, Daniel; Kiesler, Natalie; Biernacka, Katarzyna",2025,203.0,211.0,"Research Data Publication Framework, Open Data, Open Science, FAIR, Software, EdTec, DELFI, conference",paper-18.pdf,"Köppen, Veit; Strickroth, Sven",10.18420/delfi2025_18,,,23. Fachtagung Bildungstechnologien (DELFI 2025),"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-369",Gesellschaft für Informatik e.V.,,8.–11. September 2025,Freiberg,Open Science/Software,Text/Conference Paper,en,full,0.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0
414,Design of Interactive Learning Materials with H5P – Challenges in Applying Principles of Multimedia Design,"Hawlitschek, Anja; Poleshchuk, Alisa; Wegmeyer, Nadine; Hilberer, Marie-Louise; Deinert, Christin",2025,283.0,287.0,"H5P, design principles, multimedia",paper-29.pdf,"Köppen, Veit; Strickroth, Sven",10.18420/delfi2025_29,,,23. Fachtagung Bildungstechnologien (DELFI 2025),"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-369",Gesellschaft für Informatik e.V.,,8.–11. September 2025,Freiberg,Poster-Beiträge,Text/Conference Poster,en,full,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0
426,RDMC: A Tool to Support Authors in Preparing Artifacts for Evaluation,"Al Laban, Firas; Bernoth, Jan; Ayon, Safial Islam; Wiepke, Axel; Lucke, Ulrike",2025,357.0,361.0,"Research Data Management Container, Artifact Evaluation, NFDIxCS, RDMC, Teach-R",paper-41.pdf,"Köppen, Veit; Strickroth, Sven",10.18420/delfi2025_41,,,23. Fachtagung Bildungstechnologien (DELFI 2025),"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-369",Gesellschaft für Informatik e.V.,,8.–11. September 2025,Freiberg,Demo-Beiträge,Text/Conference Demo,en,full,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,0.0
466,Modularisierung von Bildungsangeboten: Problembeschreibung und Lösungsansatz,"Hambach, Sybille",2003,183.0,189.0,,GI-Proceedings.37-21.pdf,"Bode, Arndt; Desel, Jörg; Rathmeyer, Sabine; Wessner, Martin",,3-88579-366-0,1617-5468,"DeLFI 2003, Die 1. e-Learning Fachtagung Informatik","Lecture Notes in Informatics (LNI) - Proceedings, Volume P-37",Gesellschaft für Informatik e.V.,Bonn,16.-18. September 2003,Garching bei München,Regular Research Papers,Text/Conference Paper,de,,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
470,Evaluation von Datenbanken zur Speicherung von strukturierten Metadaten am Beispiel LOM,"Hoermann, Stefan; John, Ronny; Seeberg, Cornelia; Steinmetz, Ralf",2003,215.0,224.0,,GI-Proceedings.37-25.pdf,"Bode, Arndt; Desel, Jörg; Rathmeyer, Sabine; Wessner, Martin",,3-88579-366-0,1617-5468,"DeLFI 2003, Die 1. e-Learning Fachtagung Informatik","Lecture Notes in Informatics (LNI) - Proceedings, Volume P-37",Gesellschaft für Informatik e.V.,Bonn,16.-18. September 2003,Garching bei München,Regular Research Papers,Text/Conference Paper,de,,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0
483,Chancen und Schwierigkeiten der nachhaltigen Integration einer internetbasierten Lehr- und Lernplattform in die universitäre Lehre,"Kausch, Bernhard J.; Steltenkamp, Vasco S.; Witte, Jorinde J.",2003,331.0,340.0,,GI-Proceedings.37-38.pdf,"Bode, Arndt; Desel, Jörg; Rathmeyer, Sabine; Wessner, Martin",,3-88579-366-0,1617-5468,"DeLFI 2003, Die 1. e-Learning Fachtagung Informatik","Lecture Notes in Informatics (LNI) - Proceedings, Volume P-37",Gesellschaft für Informatik e.V.,Bonn,16.-18. September 2003,Garching bei München,Regular Research Papers,Text/Conference Paper,de,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0
498,Zum Design inspirationaler Lernräume,"Wagner, Ina",2004,23.0,26.0,,GI.-.Proceedings.52-2.pdf,"Engels, Gregor; Seehusen, Silke",,3-88579-381-4,1617-5468,DeLFI 2004: Die 2. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-52",Gesellschaft für Informatik e.V.,Bonn,6.-8. September 2004,Paderborn,Regular Research Papers,Text/Conference Paper,de,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
561,Didaktische Anmerkungen zur Unterstützung der Programmierlehre durch E-Learning,"Weicker, Nicole; Weicker, Karsten",2005,435.0,446.0,,GI-Proceedings.66-39.pdf,"Haake, Jörg M.; Lucke, Ulrike; Tavangarian, Djamshid",,3-88579-395-4,1617-5468,DeLFI 2005: 3. Deutsche e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-66",Gesellschaft für Informatik e.V.,Bonn,13.-16. September 2005,Rostock,Regular Research Papers,Text/Conference Paper,de,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0
574,Zur Nutzung von Referenzierungsfunktionalitäten in Lernchats,"Kienle, Andrea; Holmer, Torsten",2006,111.0,122.0,,GI-Proceedings-87-9.pdf,"Mühlhäuser, Max; Rößling, Guido; Steinmetz, Ralf",,978-3-88579-181-2,1617-5468,"DeLFI 2006, 4. e-Learning Fachtagung Informatik","Lecture Notes in Informatics (LNI) - Proceedings, Volume P-87",Gesellschaft für Informatik e.V.,Bonn,11.-14. September 2006,Darmstadt,Regular Research Papers,Text/Conference Paper,de,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
575,Evaluation zur Nutzung traditioneller und neuer Lernmedien,"Krutz, Karsten; Häussling, Roger; Heubeck, Marc; Abeck, Sebastian",2006,123.0,134.0,,GI-Proceedings-87-10.pdf,"Mühlhäuser, Max; Rößling, Guido; Steinmetz, Ralf",,978-3-88579-181-2,1617-5468,"DeLFI 2006, 4. e-Learning Fachtagung Informatik","Lecture Notes in Informatics (LNI) - Proceedings, Volume P-87",Gesellschaft für Informatik e.V.,Bonn,11.-14. September 2006,Darmstadt,Regular Research Papers,Text/Conference Paper,de,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0
589,Ein Chat sagt mehr als 1000 Worte: Strukturanalyse von Lernchats,"Holmer, Torsten; Wessner, Martin; Kienle, Andrea",2006,291.0,302.0,,GI-Proceedings-87-24.pdf,"Mühlhäuser, Max; Rößling, Guido; Steinmetz, Ralf",,978-3-88579-181-2,1617-5468,"DeLFI 2006, 4. e-Learning Fachtagung Informatik","Lecture Notes in Informatics (LNI) - Proceedings, Volume P-87",Gesellschaft für Informatik e.V.,Bonn,11.-14. September 2006,Darmstadt,Regular Research Papers,Text/Conference Paper,de,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
629,Coopetition-Simulation-Ansatz zur Förderung der Lerner-partizipation an der Erstellung von nutzergenerierten Inhalten. Ein Erfahrungsbericht aus einem Kooperationsprojekt zur Lernfilmproduktion.,"Ilona Buchem, Annika Jokiaho, Birgit May",2010,,,,21.pdf,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0
680,Functional Requirements Catalogue in the Context of Virtual Classrooms for Blind Users,Wiebke Köhlmann,2014,,,,61.pdf,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0
681,Kriterien für die automatisierte Bewertung von user-generated educational Microcontent,"Oliver Ott, Michael Hielscher",2014,,,,73.pdf,,,,,,,,,,,,,,,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0
690,Blickbasierte Awarenessmechanismen zur Kollaborations-unterstützung in offenen verteilten Lernanwendungen,"Christian Schlösser, Philipp Schlieker-Steens, Andreas Harrer und Andrea Kienle",2015,,,,17.pdf,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0
