paper_id,title,year,filename,label_column,mistral_label,llama_label,gemma_label,human_label,human_justification,timestamp
268,A Neural Natural Language Processing System for Educational Resource Knowledge Domain Classification,2021,DELFI_2021_283-288.pdf,label_lernende_paradigma_agg,-1,0,1,-1,"Es ist das fehlenden E-Learning-Standards Paradigma, was eher indirekt als Effizienzsteigerung zu interpretieren ist, aber nicht direkt für den Lerneffekt. ",2026-03-26T19:58:44.969894
301,On the Lack of Recognition of Software Artifacts and IT Infrastructure in Educational Technology Research,2022,DELFI_2022_034.pdf,label_bildungstechnologie_paradigma_agg,0,-1,1,-1,"Das ist Metascience, ein Paradigma, was wir nicht betrachten.",2026-03-26T19:58:44.970669
396,Smart Start: A Critical Analysis of Chatbots as Tools to Support Study Orientation,2025,paper-11.pdf,label_bildungstechnologie_paradigma_agg,0,-1,1,0,"Ja, Chatbots sind keine neue Technologie. Allerdings beinhaltet ihre Anpassung durchaus ingenieurtechnische Aspekte. Daher sollte dies zwischen dem Innovativen und dem allgemeinen Paradigma eingeordnet werden. Wichtig ist, dass das Ziel nicht das Lernen an sich ist! Studienorientierung ist in diesem Sinne kein Lernprozess.  ",2026-03-26T19:58:44.971409
400,"Evaluierung einer gamifizierten Lern-App: Usability, User Experience und Lerneffekt in der Hochschulbildung",2025,paper-15.pdf,label_bildungstechnologie_paradigma_agg,-1,1,0,1,"Ja, app gestütztes Lernen ist eine bildungstechnologische Entwicklung, für die keine spezielle App entwickelt wurde (zumindest wurde auf den DesignProzess nicht eingegangen)",2026-03-26T19:58:44.972144
403,A Publication Framework for Research Data in the EdTec Community,2025,paper-18.pdf,label_bildungstechnologie_paradigma_agg,0,-1,1,-1,"Nein, es ist ein Metascience paper",2026-03-26T19:58:44.973631
403,A Publication Framework for Research Data in the EdTec Community,2025,paper-18.pdf,label_design_paradigma_agg,-1,1,0,-1,"Nein, es ist ein Metascience Paper",2026-03-26T19:58:44.974705
414,Design of Interactive Learning Materials with H5P – Challenges in Applying Principles of Multimedia Design,2025,paper-29.pdf,label_lernende_paradigma_agg,0,-1,1,-1,"Das ist das fehlende Bildungstechnologe-Standards Paradigma. H5P, LOM etc dienen der Verbesserung von Austausch und Reuse von Lernmaterialien. ",2026-03-26T19:58:44.975713
426,RDMC: A Tool to Support Authors in Preparing Artifacts for Evaluation,2025,paper-41.pdf,label_lernende_paradigma_agg,0,-1,1,-1,"Das dient Tool der Forschungssoftware als Metascience, Open Science Hilfe. ",2026-03-26T19:58:44.976704
466,Modularisierung von Bildungsangeboten: Problembeschreibung und Lösungsansatz,2003,GI-Proceedings.37-21.pdf,label_design_paradigma_agg,-1,1,0,-1,"Metascience, Positionspapier, fehlendes E-Learning Standards Paradigma. ",2026-03-26T19:58:44.980259
470,Evaluation von Datenbanken zur Speicherung von strukturierten Metadaten am Beispiel LOM,2003,GI-Proceedings.37-25.pdf,label_bildungstechnologie_paradigma_agg,0,-1,1,-1,Fehlendes Metadatenparadigma.,2026-03-26T19:58:44.981578
483,Chancen und Schwierigkeiten der nachhaltigen Integration einer internetbasierten Lehr- und Lernplattform in die universitäre Lehre,2003,GI-Proceedings.37-38.pdf,label_design_paradigma_agg,1,0,-1,-1,"Hier geht es nur um didaktisches Design, keine Softwareentwicklung. ",2026-03-26T19:58:44.982229
498,Zum Design inspirationaler Lernräume,2004,GI.-.Proceedings.52-2.pdf,label_bildungstechnologie_paradigma_agg,-1,1,0,-1,"Es ist in dem Sinne keine vollwertige Publikation in den Bildungstechnologien. An sich wäre es schon Bildungstechnologie-Paradigma, aber es geht um keine konkreten Technologien. ",2026-03-26T19:58:44.982880
561,Didaktische Anmerkungen zur Unterstützung der Programmierlehre durch E-Learning,2005,GI-Proceedings.66-39.pdf,label_design_paradigma_agg,1,0,-1,-1,"Metascience, und eher DDI als Bildungstechnologien. ",2026-03-26T19:58:44.983525
574,Zur Nutzung von Referenzierungsfunktionalitäten in Lernchats,2006,GI-Proceedings-87-9.pdf,label_design_paradigma_agg,1,0,-1,1,"Verrückterweise war damals die Entwicklung einer Chatumgebung für Lernlernszenarien innovativ, und wurde einzelnd entwickelt. Aus der historischen Zeit heraus also eine neu entwickelte Bildungstechnologie.",2026-03-26T19:58:44.986305
575,Evaluation zur Nutzung traditioneller und neuer Lernmedien,2006,GI-Proceedings-87-10.pdf,label_design_paradigma_agg,1,0,-1,-1,Das ist eine rein empirische Studie. ,2026-03-26T19:58:44.987360
589,Ein Chat sagt mehr als 1000 Worte: Strukturanalyse von Lernchats,2006,GI-Proceedings-87-24.pdf,label_design_paradigma_agg,1,0,-1,-1,Die Software wurde nicht neu entwickelt. ,2026-03-26T19:58:44.988817
629,Coopetition-Simulation-Ansatz zur Förderung der Lerner-partizipation an der Erstellung von nutzergenerierten Inhalten. Ein Erfahrungsbericht aus einem Kooperationsprojekt zur Lernfilmproduktion.,2010,21.pdf,label_design_paradigma_agg,1,0,-1,-1,Die RS wurde nicht neu entwickelt. ,2026-03-26T19:58:44.989530
680,Functional Requirements Catalogue in the Context of Virtual Classrooms for Blind Users,2014,61.pdf,label_design_paradigma_agg,1,0,-1,-1,"DDI, Metastudie (Review Paper) und keine neue RS. ",2026-03-26T19:58:44.990201
681,Kriterien für die automatisierte Bewertung von user-generated educational Microcontent,2014,73.pdf,label_design_paradigma_agg,1,0,-1,-1,Kein vollständiges Paper im Sinne der Studie. ,2026-03-26T19:58:44.990810
681,Kriterien für die automatisierte Bewertung von user-generated educational Microcontent,2014,73.pdf,label_lernende_paradigma_agg,-1,0,1,-1,Kein vollständiges Paper im Sinne der Studie. ,2026-03-26T19:58:44.991384
690,Blickbasierte Awarenessmechanismen zur Kollaborations-unterstützung in offenen verteilten Lernanwendungen,2015,17.pdf,label_bildungstechnologie_paradigma_agg,0,-1,1,-1,Fehlendes Standard-Paradigm. ,2026-03-26T19:58:44.992053
